temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
54,14,20.63,22.15,22.33
54,1014,20.88,22.14,22.32
54,2014,21.97,22.14,22.33
54,3013,23.45,22.15,22.33
54,4014,25.11,22.15,22.33
54,5014,26.8,22.15,22.33
54,6016,28.5,22.15,22.33
54,7014,30.18,22.15,22.34
54,8014,31.85,22.15,22.34
54,9014,33.49,22.16,22.34
54,10014,35.08,22.16,22.35
54,11014,36.65,22.16,22.35
54,12014,38.21,22.16,22.35
54,13014,39.72,22.16,22.35
54,14014,41.22,22.17,22.35
54,15014,42.68,22.17,22.35
54,16014,44.12,22.17,22.36
54,17014,45.58,22.18,22.36
54,18014,46.98,22.18,22.36
54,19015,48.38,22.18,22.37
54,20014,49.78,22.18,22.37
54,21014,51.14,22.19,22.37
54,22014,52.5,22.19,22.37
54,23014,53.84,22.19,22.38
54,24014,55.17,22.2,22.38
54,25014,56.49,22.2,22.38
54,26014,57.8,22.2,22.39
54,27014,59.07,22.21,22.39
54,28014,60.35,22.21,22.39
54,29014,61.62,22.21,22.39
54,30014,62.84,22.22,22.4
54,31014,64.1,22.22,22.4
54,32014,65.3,22.23,22.41
54,33014,66.54,22.23,22.41
54,34014,67.73,22.23,22.41
54,35014,68.92,22.24,22.42
54,36014,70.08,22.24,22.42
54,37014,71.26,22.25,22.43
54,38014,72.4,22.25,22.43
54,39013,73.56,22.26,22.43
54,40014,74.69,22.26,22.44
54,41014,75.8,22.26,22.44
54,42014,76.92,22.27,22.45
54,43013,78.02,22.27,22.45
54,44014,79.11,22.28,22.46
54,45014,80.21,22.28,22.46
54,46018,81.28,22.29,22.47
54,47014,82.34,22.29,22.47
54,48014,83.39,22.3,22.47
54,49014,84.43,22.3,22.48
54,50014,85.47,22.31,22.49
54,51014,86.5,22.31,22.49
54,52014,87.51,22.32,22.49
54,53014,88.52,22.33,22.5
54,54014,89.51,22.33,22.5
54,55014,90.53,22.34,22.51
54,56014,91.53,22.34,22.52
54,57013,92.52,22.35,22.52
54,58014,93.5,22.35,22.53
54,59014,94.46,22.36,22.53
54,60013,95.37,22.36,22.54
54,61014,96.33,22.37,22.54
54,62013,97.34,22.38,22.55
54,63014,98.2,22.38,22.55
54,64014,99.1,22.39,22.56
54,65014,99.99,22.4,22.57
54,66014,100.91,22.4,22.57
54,67013,101.81,22.41,22.58
54,68014,102.71,22.41,22.58
54,69014,103.61,22.42,22.59
54,70014,104.45,22.43,22.6
54,71014,105.33,22.43,22.6
54,72018,106.21,22.44,22.61
54,73014,107.05,22.45,22.62
54,74014,107.89,22.46,22.62
54,75013,108.63,23.62,23.48
54,76014,109.01,29.38,29.42
54,77014,109.15,35.11,35.14
54,78014,109.05,40.73,40.71
54,79015,108.95,46.35,46.35
54,80014,108.82,52.04,51.98
54,81014,108.73,57.68,57.7
54,82014,108.72,63.32,63.33
54,83015,108.74,69.02,68.92
54,84013,108.85,74.62,74.6
54,85014,108.92,80.2,80.2
54,86014,108.94,85.79,85.77
54,87014,108.98,91.44,91.35
54,88017,109.01,94.89,95.11
54,89014,109.03,94.75,94.69
54,90014,109.05,94.87,94.94
54,91014,109.06,94.92,94.93
54,92016,109.07,94.95,94.97
54,93014,109.06,94.98,94.99
54,94014,109.07,95.0,95.01
54,95014,109.11,95.01,95.03
54,96014,109.15,95.02,95.04
54,97014,109.17,95.04,95.06
54,98014,109.18,95.05,95.06
54,99014,109.19,95.06,95.07
54,100014,109.2,95.06,95.07
54,101015,109.21,95.07,95.08
54,102013,109.19,95.08,95.08
54,103014,109.21,95.08,95.09
54,104014,109.24,95.08,95.09
54,105014,109.27,95.1,95.1
54,106013,109.29,95.09,95.1
54,107014,109.3,95.1,95.1
54,108014,109.31,95.09,95.1
54,109014,109.31,95.1,95.1
54,110014,109.32,95.1,95.1
54,111014,109.33,95.1,95.11
54,112014,109.34,95.1,95.11
54,113014,109.32,95.1,95.1
54,114015,109.34,95.1,95.1
54,115014,109.37,95.1,95.11
54,116014,109.38,95.1,95.11
54,117014,109.4,95.1,95.1
54,118014,109.41,95.1,95.11
54,119014,109.42,95.1,95.11
54,120014,109.41,95.1,95.1
54,121014,109.43,95.1,95.11
54,122017,109.44,95.1,95.1
