baseline_subtracted_value,background_subtracted_value,fluorescence_value,channel,well_num,cycle_num
-14684,865782,198009,1,1,1
-3834,876631,200483,1,1,2
-1212,879254,201081,1,1,3
-1107,879359,201105,1,1,4
-2449,878017,200799,1,1,5
-1480,878986,201020,1,1,6
-1852,878613,200935,1,1,7
-2528,877938,200781,1,1,8
642,881109,201504,1,1,9
160,880626,201394,1,1,10
10,880477,201360,1,1,11
-388,880078,201269,1,1,12
383,880850,201445,1,1,13
-252,880214,201300,1,1,14
146,880613,201391,1,1,15
-975,879490,201135,1,1,16
-2032,878433,200894,1,1,17
-831,879635,201168,1,1,18
-1501,878964,201015,1,1,19
471,880937,201465,1,1,20
361,880828,201440,1,1,21
-721,879745,201193,1,1,22
-3313,877153,200602,1,1,23
-1721,878745,200965,1,1,24
2098,882564,201836,1,1,25
774,881240,201534,1,1,26
949,881415,201574,1,1,27
774,881240,201534,1,1,28
-10,880455,201355,1,1,29
721,881187,201522,1,1,30
309,880775,201428,1,1,31
138,880604,201389,1,1,32
-1721,878745,200965,1,1,33
-2488,877977,200790,1,1,34
-1712,878754,200967,1,1,35
-668,879797,201205,1,1,36
984,881451,201582,1,1,37
2260,882727,201873,1,1,38
5996,886463,202725,1,1,39
20350,900816,205998,1,1,40
-9455,821647,220331,1,2,1
-2977,828126,222063,1,2,2
157,831260,222901,1,2,3
852,831956,223087,1,2,4
3,831107,222860,1,2,5
-29,831073,222851,1,2,6
71,831174,222878,1,2,7
478,831582,222987,1,2,8
976,832079,223120,1,2,9
-3,831099,222858,1,2,10
-392,830710,222754,1,2,11
-1526,829577,222451,1,2,12
-1488,829614,222461,1,2,13
-1245,829857,222526,1,2,14
-2038,829064,222314,1,2,15
-845,830258,222633,1,2,16
-568,830534,222707,1,2,17
1746,832850,223326,1,2,18
7903,839006,224972,1,2,19
20332,851435,228295,1,2,20
44845,875949,234849,1,2,21
80879,911983,244483,1,2,22
128141,959245,257119,1,2,23
182087,1013191,271542,1,2,24
240970,1072074,287285,1,2,25
298372,1129476,302632,1,2,26
353362,1184465,317334,1,2,27
403833,1234936,330828,1,2,28
449969,1281073,343163,1,2,29
489695,1320798,353784,1,2,30
526660,1357763,363667,1,2,31
558403,1389507,372154,1,2,32
587705,1418808,379988,1,2,33
613086,1444190,386774,1,2,34
634469,1465573,392491,1,2,35
649457,1480560,396498,1,2,36
665704,1496808,400842,1,2,37
678657,1509760,404305,1,2,38
690368,1521471,407436,1,2,39
699595,1530698,409903,1,2,40
-4710,769997,209743,1,3,1
20,774728,211027,1,3,2
2772,777480,211774,1,3,3
2599,777307,211727,1,3,4
1453,776161,211416,1,3,5
1177,775885,211341,1,3,6
1070,775778,211312,1,3,7
134,774842,211058,1,3,8
-134,774573,210985,1,3,9
-576,774131,210865,1,3,10
-1092,773615,210725,1,3,11
-1958,772749,210490,1,3,12
-2507,772200,210341,1,3,13
-2753,771954,210274,1,3,14
-3501,771206,210071,1,3,15
-3929,770778,209955,1,3,16
-2882,771825,210239,1,3,17
421,775129,211136,1,3,18
6751,781459,212854,1,3,19
20224,794931,216511,1,3,20
42903,817611,222667,1,3,21
76068,850775,231669,1,3,22
119426,894134,243438,1,3,23
169560,944268,257046,1,3,24
220872,995580,270974,1,3,25
272034,1046742,284861,1,3,26
319891,1094599,297851,1,3,27
364601,1139309,309987,1,3,28
407249,1181957,321563,1,3,29
443803,1218511,331485,1,3,30
476116,1250824,340256,1,3,31
505048,1279756,348109,1,3,32
530674,1305382,355065,1,3,33
552378,1327086,360956,1,3,34
567751,1342459,365129,1,3,35
583781,1358489,369480,1,3,36
597236,1371943,373132,1,3,37
607831,1382539,376008,1,3,38
616691,1391399,378413,1,3,39
623555,1398263,380276,1,3,40
842,885018,219413,1,4,1
6137,890313,220721,1,4,2
7372,891548,221026,1,4,3
6890,891066,220907,1,4,4
5109,889285,220467,1,4,5
3190,887366,219993,1,4,6
2064,886240,219715,1,4,7
1789,885965,219647,1,4,8
615,884791,219357,1,4,9
-615,883560,219053,1,4,10
-1728,882447,218778,1,4,11
-3720,880455,218286,1,4,12
-5121,879054,217940,1,4,13
-5582,878593,217826,1,4,14
-6680,877496,217555,1,4,15
-6943,877232,217490,1,4,16
-7627,876548,217321,1,4,17
-4635,879540,218060,1,4,18
2473,886649,219816,1,4,19
17133,901309,223437,1,4,20
42457,926633,229692,1,4,21
81298,965474,239286,1,4,22
129395,1013571,251166,1,4,23
183819,1067995,264609,1,4,24
240098,1124274,278510,1,4,25
295004,1179180,292072,1,4,26
347700,1231876,305088,1,4,27
397716,1281892,317442,1,4,28
443549,1327725,328763,1,4,29
486532,1370709,339380,1,4,30
522823,1407000,348344,1,4,31
556422,1440598,356643,1,4,32
585357,1469533,363790,1,4,33
611296,1495472,370197,1,4,34
631729,1515905,375244,1,4,35
649292,1533468,379582,1,4,36
665462,1549638,383576,1,4,37
678275,1562451,386741,1,4,38
689935,1574111,389621,1,4,39
696016,1580192,391123,1,4,40
7704,840171,225736,1,5,1
11090,843557,226642,1,5,2
11651,844117,226792,1,5,3
10066,842533,226368,1,5,4
7427,839894,225662,1,5,5
5604,838070,225174,1,5,6
3245,835712,224543,1,5,7
379,832846,223776,1,5,8
-827,831639,223453,1,5,9
-2950,829516,222885,1,5,10
-3541,828925,222727,1,5,11
-5278,827187,222262,1,5,12
-5088,827378,222313,1,5,13
-4632,827834,222435,1,5,14
-379,832087,223573,1,5,15
7457,839924,225670,1,5,16
22167,854634,229606,1,5,17
48844,881311,236744,1,5,18
85615,918082,246583,1,5,19
133154,965621,259303,1,5,20
183189,1015656,272691,1,5,21
234607,1067074,286449,1,5,22
284941,1117408,299917,1,5,23
333940,1166407,313028,1,5,24
379681,1212148,325267,1,5,25
420739,1253206,336253,1,5,26
457903,1290370,346197,1,5,27
491382,1323849,355155,1,5,28
522521,1354988,363487,1,5,29
549684,1382150,370755,1,5,30
571483,1403950,376588,1,5,31
590570,1423036,381695,1,5,32
606528,1438995,385965,1,5,33
619545,1452012,389448,1,5,34
631299,1463766,392593,1,5,35
641972,1474439,395449,1,5,36
650609,1483076,397760,1,5,37
657165,1489631,399514,1,5,38
663118,1495585,401107,1,5,39
667636,1500103,402316,1,5,40
10318,854483,247941,1,6,1
8207,852373,247331,1,6,2
9152,853317,247604,1,6,3
6055,850220,246709,1,6,4
4775,848940,246339,1,6,5
2858,847023,245785,1,6,6
2183,846348,245590,1,6,7
294,844459,245044,1,6,8
-1878,842286,244416,1,6,9
-3190,840975,244037,1,6,10
-4269,839895,243725,1,6,11
-4588,839577,243633,1,6,12
-5377,838788,243405,1,6,13
-3844,840321,243848,1,6,14
-294,843871,244874,1,6,15
7003,851169,246983,1,6,16
21484,865650,251168,1,6,17
47840,892006,258785,1,6,18
85875,930040,269777,1,6,19
133010,977175,283399,1,6,20
185062,1029227,298442,1,6,21
238473,1082639,313878,1,6,22
290550,1134715,328928,1,6,23
339380,1183546,343040,1,6,24
386404,1230570,356630,1,6,25
429691,1273857,369140,1,6,26
467390,1311556,380035,1,6,27
501231,1345397,389815,1,6,28
532055,1376220,398723,1,6,29
557927,1402092,406200,1,6,30
580560,1424725,412741,1,6,31
599574,1443739,418236,1,6,32
614407,1458573,422523,1,6,33
628591,1472756,426622,1,6,34
639546,1483711,429788,1,6,35
648466,1492632,432366,1,6,36
657221,1501386,434896,1,6,37
664875,1509040,437108,1,6,38
670466,1514632,438724,1,6,39
673151,1517317,439500,1,6,40
1578,940910,256375,1,7,1
-948,938384,255689,1,7,2
403,939735,256056,1,7,3
-488,938844,255814,1,7,4
-874,938457,255709,1,7,5
-2248,937083,255336,1,7,6
-454,938877,255823,1,7,7
2395,941728,256597,1,7,8
3673,943006,256944,1,7,9
-215,939117,255888,1,7,10
-580,938752,255789,1,7,11
-2473,936859,255275,1,7,12
-1423,937908,255560,1,7,13
215,939547,256005,1,7,14
4811,944144,257253,1,7,15
15791,955123,260234,1,7,16
35944,975277,265706,1,7,17
67508,1006841,274276,1,7,18
107241,1046574,285064,1,7,19
154536,1093868,297905,1,7,20
201823,1141155,310744,1,7,21
246498,1185831,322874,1,7,22
291697,1231029,335146,1,7,23
334155,1273488,346674,1,7,24
375472,1314805,357892,1,7,25
413235,1352567,368145,1,7,26
446997,1386330,377312,1,7,27
477397,1416730,385566,1,7,28
505043,1444375,393072,1,7,29
530655,1469987,400026,1,7,30
550819,1490152,405501,1,7,31
567861,1507193,410128,1,7,32
582103,1521436,413995,1,7,33
595215,1534548,417555,1,7,34
606526,1545858,420626,1,7,35
616356,1555688,423295,1,7,36
624628,1563961,425541,1,7,37
630790,1570122,427214,1,7,38
