channel,well_num,ct
1,1,
1,2,21.34
1,3,21.45
1,4,21.17
1,5,24.82
1,6,24.56
1,7,24.68
1,8,32.26
1,9,35.48
1,10,16.83
1,11,17.66
1,12,17.7
1,13,20.72
1,14,20.62
1,15,20.68
1,16,
