temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
55,18,20.22,21.66,21.84
55,1017,20.47,21.65,21.83
55,2018,21.55,21.65,21.83
55,3017,23.03,21.65,21.83
55,4017,24.69,21.65,21.83
55,5018,26.39,21.65,21.83
55,6017,28.08,21.65,21.83
55,7017,29.78,21.65,21.83
55,8017,31.43,21.65,21.83
55,9017,33.07,21.65,21.83
55,10017,34.67,21.65,21.83
55,11017,36.24,21.65,21.83
55,12017,37.77,21.65,21.84
55,13020,39.31,21.65,21.83
55,14017,40.78,21.65,21.83
55,15018,42.27,21.65,21.84
55,16018,43.72,21.65,21.84
55,17017,45.12,21.66,21.84
55,18017,46.56,21.66,21.84
55,19018,47.93,21.66,21.84
55,20017,49.34,21.66,21.84
55,21017,50.71,21.66,21.84
55,22017,52.06,21.66,21.84
55,23018,53.39,21.66,21.85
55,24017,54.74,21.66,21.85
55,25018,56.05,21.67,21.85
55,26018,57.35,21.67,21.85
55,27017,58.64,21.67,21.85
55,28017,59.91,21.67,21.85
55,29017,61.19,21.68,21.86
55,30018,62.43,21.68,21.86
55,31017,63.68,21.68,21.86
55,32018,64.89,21.68,21.87
55,33017,66.09,21.69,21.87
55,34018,67.3,21.69,21.87
55,35017,68.48,21.69,21.87
55,36018,69.65,21.7,21.88
55,37018,70.8,21.7,21.88
55,38017,71.97,21.7,21.88
55,39017,73.11,21.7,21.88
55,40018,74.24,21.71,21.89
55,41017,75.38,21.71,21.89
55,42017,76.49,21.71,21.89
55,43017,77.77,21.72,21.9
55,44017,78.7,21.72,21.9
55,45017,79.78,21.72,21.9
55,46018,80.85,21.73,21.91
55,47017,81.92,21.73,21.91
55,48018,82.96,21.73,21.91
55,49018,83.99,21.74,21.92
55,50017,85.03,21.74,21.92
55,51017,86.07,21.74,21.92
55,52017,87.07,21.75,21.93
55,53018,88.09,21.75,21.93
55,54017,89.08,21.76,21.94
55,55017,90.08,21.76,21.94
55,56017,91.08,21.77,21.94
55,57017,92.07,21.77,21.95
55,58017,93.02,21.77,21.95
55,59018,94.0,21.78,21.96
55,60018,94.9,21.78,21.96
55,61017,95.85,21.79,21.97
55,62017,96.81,21.79,21.97
55,63017,97.75,21.8,21.98
55,64018,98.66,21.8,21.98
55,65018,99.56,21.81,21.99
55,66018,100.44,21.81,21.99
