baseline_subtracted_value,background_subtracted_value,fluorescence_value,channel,well_num,cycle_num
-5540,239849,55275,1,1,1
-5356,240034,55317,1,1,2
-5321,240069,55325,1,1,3
-5260,240130,55339,1,1,4
-5159,240231,55362,1,1,5
-5396,239994,55308,1,1,6
-5435,239955,55299,1,1,7
-4580,240810,55494,1,1,8
-3865,241525,55657,1,1,9
-3071,242318,55838,1,1,10
-2650,242739,55934,1,1,11
-1953,243437,56093,1,1,12
-1655,243735,56161,1,1,13
-1475,243915,56202,1,1,14
-1751,243638,56139,1,1,15
-1212,244178,56262,1,1,16
-629,244761,56395,1,1,17
-186,245204,56496,1,1,18
-238,245151,56484,1,1,19
-703,244686,56378,1,1,20
-883,244507,56337,1,1,21
-173,245217,56499,1,1,22
173,245564,56578,1,1,23
274,245664,56601,1,1,24
953,246344,56756,1,1,25
958,246348,56757,1,1,26
1028,246419,56773,1,1,27
1401,246791,56858,1,1,28
1208,246598,56814,1,1,29
2519,247910,57113,1,1,30
2839,248230,57186,1,1,31
3339,248730,57300,1,1,32
3598,248988,57359,1,1,33
3541,248931,57346,1,1,34
3677,249067,57377,1,1,35
4036,249427,57459,1,1,36
3988,249379,57448,1,1,37
4098,249488,57473,1,1,38
4536,249927,57573,1,1,39
4839,250229,57642,1,1,40
-10012,794415,213050,1,2,1
-2087,802340,215169,1,2,2
1421,805849,216107,1,2,3
1870,806297,216227,1,2,4
3687,808115,216713,1,2,5
1731,806159,216190,1,2,6
1062,805490,216011,1,2,7
340,804768,215818,1,2,8
-1282,803144,215384,1,2,9
-1440,802987,215342,1,2,10
-1544,802883,215314,1,2,11
-142,804285,215689,1,2,12
-1391,803036,215355,1,2,13
-3220,801207,214866,1,2,14
-3482,800945,214796,1,2,15
-3283,801143,214849,1,2,16
-1469,802957,215334,1,2,17
142,804569,215765,1,2,18
6620,811048,217497,1,2,19
19887,824314,221044,1,2,20
39433,843861,226270,1,2,21
71068,875496,234728,1,2,22
115394,919822,246579,1,2,23
167313,971741,260460,1,2,24
222957,1027385,275337,1,2,25
278313,1082741,290137,1,2,26
328145,1132573,303460,1,2,27
378762,1183190,316993,1,2,28
424692,1229120,329273,1,2,29
468551,1272979,340999,1,2,30
508018,1312446,351551,1,2,31
542260,1346688,360706,1,2,32
572613,1377040,368821,1,2,33
599139,1403566,375913,1,2,34
621210,1425638,381814,1,2,35
641026,1445454,387112,1,2,36
656630,1461058,391284,1,2,37
670331,1474759,394947,1,2,38
681638,1486066,397970,1,2,39
691194,1495622,400525,1,2,40
-1224,772307,210370,1,3,1
3218,776750,211576,1,3,2
4371,777903,211889,1,3,3
1659,775192,211153,1,3,4
2378,775910,211348,1,3,5
1136,774669,211011,1,3,6
9,773541,210705,1,3,7
-215,773317,210644,1,3,8
130,773663,210738,1,3,9
-9,773523,210700,1,3,10
565,774098,210856,1,3,11
-252,773280,210634,1,3,12
-1877,771655,210193,1,3,13
-2168,771364,210114,1,3,14
-2658,770874,209981,1,3,15
-2451,771080,210037,1,3,16
-2337,771195,210068,1,3,17
-1162,772370,210387,1,3,18
3398,776931,211625,1,3,19
12966,786498,214222,1,3,20
32363,805895,219487,1,3,21
