baseline_subtracted_value,background_subtracted_value,fluorescence_value,channel,well_num,cycle_num
61803,835335,227478,1,3,22
104148,877681,238972,1,3,23
153821,927354,252455,1,3,24
206022,979554,266624,1,3,25
258008,1031541,280735,1,3,26
308683,1082216,294490,1,3,27
356142,1129675,307372,1,3,28
399413,1172945,319117,1,3,29
439105,1212638,329891,1,3,30
474930,1248463,339615,1,3,31
505692,1279225,347965,1,3,32
533342,1306874,355470,1,3,33
556787,1330320,361834,1,3,34
576571,1350104,367204,1,3,35
594723,1368256,372131,1,3,36
609338,1382871,376098,1,3,37
621621,1395154,379432,1,3,38
632062,1405594,382266,1,3,39
640373,1413906,384522,1,3,40
-5837,845625,209683,1,4,1
510,851974,211251,1,4,2
4676,856140,212280,1,4,3
3315,854779,211944,1,4,4
3538,855002,211999,1,4,5
1995,853459,211618,1,4,6
1510,852974,211498,1,4,7
619,852083,211278,1,4,8
-1165,850297,210837,1,4,9
-704,850759,210951,1,4,10
-619,850844,210972,1,4,11
-1441,850022,210769,1,4,12
-2388,849075,210535,1,4,13
-2291,849172,210559,1,4,14
-2736,848727,210449,1,4,15
-2287,849176,210560,1,4,16
-1728,849735,210698,1,4,17
1032,852496,211380,1,4,18
8271,859735,213168,1,4,19
20505,871969,216190,1,4,20
42602,894066,221648,1,4,21
77715,929179,230321,1,4,22
122168,973632,241301,1,4,23
175200,1026664,254400,1,4,24
231977,1083441,268424,1,4,25
286255,1137719,281831,1,4,26
339125,1190589,294890,1,4,27
388675,1240139,307129,1,4,28
432926,1284390,318059,1,4,29
474306,1325770,328280,1,4,30
512662,1364126,337754,1,4,31
546860,1398324,346201,1,4,32
575135,1426599,353185,1,4,33
600130,1451594,359359,1,4,34
622636,1474100,364918,1,4,35
642118,1493582,369730,1,4,36
658603,1510067,373802,1,4,37
672105,1523569,377137,1,4,38
683724,1535188,380007,1,4,39
693700,1545164,382471,1,4,40
-4946,804521,216197,1,5,1
181,809648,217569,1,5,2
1508,810975,217924,1,5,3
1814,811281,218006,1,5,4
2532,811999,218198,1,5,5
2446,811913,218175,1,5,6
2348,811816,218149,1,5,7
2034,811502,218065,1,5,8
480,809947,217649,1,5,9
711,810179,217711,1,5,10
-480,808987,217392,1,5,11
-670,808796,217341,1,5,12
-1410,808056,217143,1,5,13
-3219,806247,216659,1,5,14
-4938,804528,216199,1,5,15
-6968,802499,215656,1,5,16
-6874,802592,215681,1,5,17
-6471,802996,215789,1,5,18
-6063,803403,215898,1,5,19
-5368,804098,216084,1,5,20
-3903,805563,216476,1,5,21
969,810437,217780,1,5,22
10982,820449,220459,1,5,23
28222,837689,225072,1,5,24
57918,867386,233018,1,5,25
97242,906710,243540,1,5,26
143002,952469,255784,1,5,27
193620,1003087,269328,1,5,28
247250,1056717,283678,1,5,29
300301,1109768,297873,1,5,30
350272,1159740,311244,1,5,31
396480,1205948,323608,1,5,32
438458,1247925,334840,1,5,33
476866,1286334,345117,1,5,34
511051,1320519,354264,1,5,35
541174,1350641,362324,1,5,36
568101,1377568,369529,1,5,37
591145,1400613,375695,1,5,38
612007,1421474,381277,1,5,39
627431,1436898,385404,1,5,40
-1404,834387,242133,1,6,1
1695,837487,243029,1,6,2
3065,838857,243425,1,6,3
1152,836944,242872,1,6,4
1013,836805,242832,1,6,5
453,836245,242670,1,6,6
-321,835470,242446,1,6,7
-304,835487,242451,1,6,8
-968,834823,242259,1,6,9
-83,835708,242515,1,6,10
851,836643,242785,1,6,11
515,836307,242688,1,6,12
-100,835691,242510,1,6,13
0,835791,242539,1,6,14
48,835840,242553,1,6,15
-387,835404,242427,1,6,16
-1134,834656,242211,1,6,17
-1678,834113,242054,1,6,18
-1681,834110,242053,1,6,19
-539,835252,242383,1,6,20
1674,837466,243023,1,6,21
7435,843227,244688,1,6,22
17574,853366,247618,1,6,23
34730,870521,252576,1,6,24
63685,899476,260944,1,6,25
103958,939750,272583,1,6,26
153221,989013,286820,1,6,27
207646,1043438,302549,1,6,28
261242,1097033,318038,1,6,29
314830,1150622,333525,1,6,30
364736,1200528,347948,1,6,31
410767,1246559,361251,1,6,32
446414,1282206,371553,1,6,33
483304,1319096,382214,1,6,34
515093,1350885,391401,1,6,35
544785,1380577,399982,1,6,36
569615,1405407,407158,1,6,37
591404,1427196,413455,1,6,38
608266,1444057,418328,1,6,39
622840,1458632,422540,1,6,40
-721,920996,250968,1,7,1
4051,925769,252264,1,7,2
3473,925191,252107,1,7,3
2788,924506,251921,1,7,4
3167,924885,252024,1,7,5
3653,925371,252156,1,7,6
2386,924104,251812,1,7,7
1053,922771,251450,1,7,8
-265,921452,251092,1,7,9
265,921983,251236,1,7,10
-1664,920053,250712,1,7,11
-3451,918267,250227,1,7,12
-2508,919210,250483,1,7,13
-4161,917556,250034,1,7,14
-3244,918473,250283,1,7,15
-3296,918421,250269,1,7,16
-5918,915799,249557,1,7,17
-5071,916646,249787,1,7,18
-3859,917858,250116,1,7,19
-2161,919556,250577,1,7,20
1211,922929,251493,1,7,21
5476,927194,252651,1,7,22
16249,937967,255576,1,7,23
35515,957234,260807,1,7,24
67713,989431,269549,1,7,25
108720,1030438,280683,1,7,26
162117,1083835,295181,1,7,27
215290,1137008,309618,1,7,28
272002,1193720,325016,1,7,29
329078,1250796,340513,1,7,30
382527,1304245,355025,1,7,31
432422,1354140,368572,1,7,32
477090,1398808,380700,1,7,33
519681,1441399,392264,1,7,34
557035,1478753,402406,1,7,35
588223,1509941,410874,1,7,36
615444,1537163,418265,1,7,37
642209,1563928,425532,1,7,38
662724,1584442,431102,1,7,39
679607,1601325,435686,1,7,40
-62951,704960,224010,1,8,1
-64190,703720,223618,1,8,2
-61247,706663,224549,1,8,3
-50075,717836,228083,1,8,4
-45943,721967,229390,1,8,5
-40284,727626,231180,1,8,6
-35637,732273,232650,1,8,7
-31651,736260,233911,1,8,8
-25929,741982,235721,1,8,9
-21838,746073,237015,1,8,10
-16483,751428,238709,1,8,11
-13947,753963,239511,1,8,12
-11070,756840,240421,1,8,13
-6591,761320,241838,1,8,14
-2759,765151,243050,1,8,15
-1220,766691,243537,1,8,16
-5848,762063,242073,1,8,17
-2905,765006,243004,1,8,18
0,767911,243923,1,8,19
6139,774050,245865,1,8,20
10220,778132,247156,1,8,21
12702,780613,247941,1,8,22
15708,783620,248892,1,8,23
18376,786288,249736,1,8,24
21120,789032,250604,1,8,25
21993,789904,250880,1,8,26
24320,792231,251616,1,8,27
27598,795509,252653,1,8,28
30908,798819,253700,1,8,29
37781,805692,255874,1,8,30
46686,814598,258691,1,8,31
65022,832933,264491,1,8,32
89889,857800,272357,1,8,33
127780,895692,284343,1,8,34
186464,954376,302906,1,8,35
256114,1024026,324938,1,8,36
342137,1110049,352149,1,8,37
436402,1204313,381967,1,8,38
553687,1321598,419067,1,8,39
390234,1158145,367363,1,8,40
-26728,695580,185136,1,9,1
-23634,698673,185957,1,9,2
-13444,708864,188662,1,9,3
-13820,708487,188562,1,9,4
-8655,713653,189933,1,9,5
-4933,717375,190921,1,9,6
4933,727242,193540,1,9,7
10882,733190,195119,1,9,8
15391,737700,196316,1,9,9
20376,742684,197639,1,9,10
25405,747714,198974,1,9,11
29207,751515,199983,1,9,12
34244,756552,201320,1,9,13
37288,759596,202128,1,9,14
41628,763936,203280,1,9,15
45855,768163,204402,1,9,16
47791,770100,204916,1,9,17
52478,774787,206160,1,9,18
56822,779130,207313,1,9,19
60156,782465,208198,1,9,20
-103824,618483,164672,1,9,21
-100211,622096,165631,1,9,22
-96621,625687,166584,1,9,23
-93761,628546,167343,1,9,24
-89708,632600,168419,1,9,25
-87221,635087,169079,1,9,26
-84878,637430,169701,1,9,27
-82192,640116,170414,1,9,28
-79253,643055,171194,1,9,29
-73414,648894,172744,1,9,30
-66293,656015,174634,1,9,31
-56102,666206,177339,1,9,32
-37638,684670,182240,1,9,33
-5931,716376,190656,1,9,34
48861,771170,205200,1,9,35
131707,854016,227190,1,9,36
239764,962073,255872,1,9,37
368068,1090377,289928,1,9,38
502433,1224742,325593,1,9,39
622260,1344569,357399,1,9,40
3294,822082,223883,1,10,1
4446,823234,224196,1,10,2
1163,819950,223304,1,10,3
883,819671,223228,1,10,4
574,819362,223144,1,10,5
-1067,817720,222698,1,10,6
-1372,817415,222615,1,10,7
-2355,816432,222348,1,10,8
-2212,816575,222387,1,10,9
-1071,817716,222697,1,10,10
-868,817919,222752,1,10,11
0,818787,222988,1,10,12
1026,819814,223267,1,10,13
4350,823138,224170,1,10,14
10968,829756,225968,1,10,15
25171,843959,229827,1,10,16
46802,865590,235704,1,10,17
80339,899127,244816,1,10,18
122231,941019,256198,1,10,19
169891,988679,269147,1,10,20
217989,1036777,282215,1,10,21
268284,1087072,295880,1,10,22
315395,1134183,308680,1,10,23
361369,1180157,321171,1,10,24
404484,1223272,332885,1,10,25
446144,1264932,344204,1,10,26
481595,1300383,353836,1,10,27
514481,1333269,362771,1,10,28
544471,1363258,370919,1,10,29
571313,1390101,378212,1,10,30
595726,1414514,384845,1,10,31
617983,1436771,390892,1,10,32
637725,1456513,396256,1,10,33
654976,1473764,400943,1,10,34
668116,1486904,404513,1,10,35
681598,1500386,408176,1,10,36
691830,1510618,410956,1,10,37
701112,1519900,413478,1,10,38
709327,1528115,415710,1,10,39
715798,1534586,417468,1,10,40
16295,803243,216027,1,11,1
13907,800855,215386,1,11,2
11049,797997,214619,1,11,3
7185,794133,213582,1,11,4
5598,792546,213156,1,11,5
2557,789505,212340,1,11,6
1246,788194,211988,1,11,7
-642,786305,211481,1,11,8
-1745,785202,211185,1,11,9
-3113,783834,210818,1,11,10
-3314,783633,210764,1,11,11
-3377,783570,210747,1,11,12
-3109,783838,210819,1,11,13
-1980,784967,211122,1,11,14
642,787590,211826,1,11,15
10140,797088,214375,1,11,16
26128,813076,218666,1,11,17
55095,842043,226440,1,11,18
93890,880838,236852,1,11,19
141398,928345,249602,1,11,20
194166,981114,263764,1,11,21
249598,1036546,278641,1,11,22
302143,1089091,292743,1,11,23
351707,1138655,306045,1,11,24
399307,1186255,318820,1,11,25
442738,1229686,330476,1,11,26
481214,1268161,340802,1,11,27
516179,1303127,350186,1,11,28
546732,1333680,358386,1,11,29
574138,1361085,365741,1,11,30
597410,1384358,371987,1,11,31
617937,1404885,377496,1,11,32
635677,1422625,382257,1,11,33
651312,1438259,386453,1,11,34
663037,1449985,389600,1,11,35
673094,1460042,392299,1,11,36
680222,1467170,394212,1,11,37
686862,1473810,395994,1,11,38
694034,1480982,397919,1,11,39
698021,1484969,398989,1,11,40
17735,790138,268082,1,12,1
13131,785534,266526,1,12,2
10793,783196,265736,1,12,3
5595,777998,263979,1,12,4
3739,776143,263352,1,12,5
926,773329,262401,1,12,6
-505,771897,261917,1,12,7
-1153,771249,261698,1,12,8
-1281,771121,261655,1,12,9
505,772909,262259,1,12,10
-1760,770642,261493,1,12,11
-1837,770565,261467,1,12,12
-2390,770012,261280,1,12,13
-736,771666,261839,1,12,14
1150,773554,262477,1,12,15
9157,781560,265183,1,12,16
23070,795473,269885,1,12,17
47992,820395,278308,1,12,18
84463,856866,290634,1,12,19
129384,901787,305816,1,12,20
179291,951694,322683,1,12,21
228996,1001399,339482,1,12,22
279231,1051635,356460,1,12,23
326040,1098443,372280,1,12,24
370340,1142743,387252,1,12,25
410137,1182540,400702,1,12,26
444785,1217188,412412,1,12,27
477628,1250031,423512,1,12,28
505447,1277850,432914,1,12,29
532020,1304423,441895,1,12,30
552037,1324440,448660,1,12,31
570559,1342962,454920,1,12,32
587214,1359618,460549,1,12,33
601109,1373512,465245,1,12,34
612811,1385214,469200,1,12,35
622229,1394632,472383,1,12,36
629476,1401879,474832,1,12,37
635802,1408205,476970,1,12,38
640666,1413069,478614,1,12,39
645619,1418022,480288,1,12,40
16752,809452,225087,1,13,1
12936,805636,224029,1,13,2
9184,801884,222989,1,13,3
5039,797739,221840,1,13,4
4144,796845,221592,1,13,5
1414,794114,220835,1,13,6
497,793198,220581,1,13,7
-176,792523,220394,1,13,8
-613,792086,220273,1,13,9
-335,792364,220350,1,13,10
281,792981,220521,1,13,11
-750,791949,220235,1,13,12
-815,791884,220217,1,13,13
-1284,791416,220087,1,13,14
-1035,791664,220156,1,13,15
-768,791931,220230,1,13,16
0,792700,220443,1,13,17
4051,796751,221566,1,13,18
11958,804658,223758,1,13,19
27322,820022,228017,1,13,20
53086,845786,235159,1,13,21
90094,882794,245418,1,13,22
137116,929816,258453,1,13,23
188222,980922,272620,1,13,24
241932,1034632,287509,1,13,25
293723,1086423,301866,1,13,26
341326,1134026,315062,1,13,27
385823,1178524,327397,1,13,28
426706,1219406,338730,1,13,29
464562,1257262,349224,1,13,30
496779,1289479,358155,1,13,31
525490,1318190,366114,1,13,32
549761,1342461,372842,1,13,33
571311,1364011,378816,1,13,34
590062,1382763,384014,1,13,35
606974,1399674,388702,1,13,36
620978,1413678,392584,1,13,37
631385,1424085,395469,1,13,38
641688,1434388,398325,1,13,39
644920,1437620,399221,1,13,40
11259,813449,193605,1,14,1
10108,812298,193332,1,14,2
6999,809189,192594,1,14,3
3223,805413,191698,1,14,4
2587,804777,191547,1,14,5
1032,803222,191178,1,14,6
476,802666,191046,1,14,7
0,802190,190933,1,14,8
-530,801659,190807,1,14,9
-164,802025,190894,1,14,10
-1007,801182,190694,1,14,11
-632,801558,190783,1,14,12
-1525,800664,190571,1,14,13
-2132,800057,190427,1,14,14
-1816,800373,190502,1,14,15
-1752,800437,190517,1,14,16
792,802982,191121,1,14,17
4593,806783,192023,1,14,18
13286,815476,194086,1,14,19
29125,831315,197845,1,14,20
57307,859497,204533,1,14,21
97186,899376,213997,1,14,22
147141,949331,225852,1,14,23
201768,1003958,238816,1,14,24
257499,1059690,252042,1,14,25
310222,1112412,264554,1,14,26
359157,1161347,276167,1,14,27
405024,1207214,287052,1,14,28
446766,1248956,296958,1,14,29
484976,1287166,306026,1,14,30
519293,1321483,314170,1,14,31
548537,1350727,321110,1,14,32
574793,1376983,327341,1,14,33
596528,1398718,332499,1,14,34
615093,1417284,336905,1,14,35
631443,1433633,340785,1,14,36
645205,1447395,344051,1,14,37
656431,1458621,346715,1,14,38
666207,1468397,349035,1,14,39
673277,1475467,350713,1,14,40
703,863803,206719,1,15,1
2683,865783,207192,1,15,2
1879,864979,207000,1,15,3
-661,862438,206393,1,15,4
-1415,861684,206213,1,15,5
-1850,861249,206109,1,15,6
-1729,861370,206138,1,15,7
-1356,861743,206227,1,15,8
-1092,862007,206290,1,15,9
-778,862321,206365,1,15,10
33,863133,206559,1,15,11
0,863099,206551,1,15,12
247,863346,206610,1,15,13
-502,862597,206431,1,15,14
-159,862940,206513,1,15,15
167,863267,206591,1,15,16
3198,866298,207315,1,15,17
8084,871184,208482,1,15,18
17529,880629,210738,1,15,19
34992,898091,214909,1,15,20
66362,929462,222402,1,15,21
110628,973727,232975,1,15,22
165205,1028305,246011,1,15,23
226837,1089936,260732,1,15,24
290482,1153582,275934,1,15,25
352654,1215754,290784,1,15,26
410003,1273103,304482,1,15,27
463412,1326512,317239,1,15,28
512471,1375571,328957,1,15,29
557771,1420871,339777,1,15,30
598214,1461314,349437,1,15,31
632523,1495623,357632,1,15,32
663572,1526672,365048,1,15,33
687532,1550632,370771,1,15,34
708243,1571343,375718,1,15,35
726937,1590037,380183,1,15,36
742285,1605385,383849,1,15,37
754711,1617811,386817,1,15,38
765714,1628813,389445,1,15,39
774807,1637907,391617,1,15,40
3060,255579,69323,1,16,1
-1366,251151,68131,1,16,2
-4245,248273,67356,1,16,3
-6002,246516,66883,1,16,4
-6867,245650,66650,1,16,5
-6793,245724,66670,1,16,6
-5965,246553,66893,1,16,7
-5995,246523,66885,1,16,8
-5560,246958,67002,1,16,9
-4557,247960,67272,1,16,10
-3695,248822,67504,1,16,11
-3383,249134,67588,1,16,12
-3023,249495,67685,1,16,13
-2488,250029,67829,1,16,14
-1846,250672,68002,1,16,15
-1890,250627,67990,1,16,16
-1574,250943,68075,1,16,17
-1381,251136,68127,1,16,18
-1103,251415,68202,1,16,19
-947,251571,68244,1,16,20
-527,251991,68357,1,16,21
-111,252407,68469,1,16,22
111,252629,68529,1,16,23
620,253138,68666,1,16,24
1292,253811,68847,1,16,25
1467,253985,68894,1,16,26
1615,254134,68934,1,16,27
1831,254349,68992,1,16,28
2158,254676,69080,1,16,29
3079,255597,69328,1,16,30
3365,255883,69405,1,16,31
3246,255764,69373,1,16,32
3461,255980,69431,1,16,33
3985,256504,69572,1,16,34
3814,256333,69526,1,16,35
4104,256622,69604,1,16,36
4312,256830,69660,1,16,37
4479,256998,69705,1,16,38
4442,256960,69695,1,16,39
4839,257358,69802,1,16,40
