channel,well_num,ct
1,1,34.12
1,2,25.01
1,3,24.84
1,4,24.87
1,5,20.38
1,6,21.74
1,7,21.32
1,8,
1,9,
1,10,18.73
1,11,16.52
1,12,18.4
1,13,16.43
1,14,16.16
1,15,15.12
1,16,
