,sample,set,dna,Log Copy Number,Cycle Threshold,r2
12,Std2,2,1000000.0,13.815510558,21.34,0.991158811624
13,Std2,2,1000000.0,13.815510558,21.45,0.991158811624
14,Std2,2,1000000.0,13.815510558,21.17,0.991158811624
15,Std3,2,100000.0,11.512925465,24.82,0.991158811624
16,Std3,2,100000.0,11.512925465,24.56,0.991158811624
17,Std3,2,100000.0,11.512925465,24.68,0.991158811624
18,Std1,2,10000000.0,16.118095651,16.83,0.991158811624
19,Std1,2,10000000.0,16.118095651,17.66,0.991158811624
20,Std1,2,10000000.0,16.118095651,17.7,0.991158811624
21,Test,2,1296274.31906,14.0750047994,20.72,0.991158811624
22,Test,2,1380032.14591,14.137617351,20.62,0.991158811624
23,Test,2,1329149.49747,14.1000498201,20.68,0.991158811624
