,sample,set,dna,Log Copy Number,Cycle Threshold,r2
36,Std3,4,100000.0,11.512925465,25.95,0.97119324567
37,Std3,4,100000.0,11.512925465,25.19,0.97119324567
38,Std3,4,100000.0,11.512925465,25.19,0.97119324567
39,Std3,4,1000000.0,13.815510558,21.24,0.97119324567
40,Std2,4,1000000.0,13.815510558,21.22,0.97119324567
41,Std2,4,1000000.0,13.815510558,21.4,0.97119324567
42,Std3Spike,4,1100000.0,13.9108207378,21.74,0.97119324567
43,Std3Spike,4,1100000.0,13.9108207378,21.77,0.97119324567
44,Std3Spike,4,1100000.0,13.9108207378,21.07,0.97119324567
45,Test,4,2049237.65757,14.5329784076,20.19,0.97119324567
46,Test,4,2471030.603,14.7201458698,19.86,0.97119324567
47,Test,4,3117953.02314,14.9526872621,19.45,0.97119324567
